8192 90111
18 7287 1
18 472 6
18 302 4
18 6256 9
18 1519 19
18 3841 17
18 67 19
18 4515 11
18 2333 1
18 7389 8
19 20 14
19 4131 3
19 5174 1
19 4337 10
19 1485 8
19 6156 5
19 8061 2
19 3555 13
19 4962 5
19 7655 8
19 5611 2
19 5867 2
19 7979 10
19 5641 18
20 21 1
20 1034 8
20 100 20
20 266 3
20 7782 2
20 2567 1
20 1225 17
20 487 10
20 1059 15
20 8096 8
20 2242 17
20 1683 18
21 22 2
21 3671 18
21 6655 13
21 5417 16
21 2308 12
21 2916 11
21 2427 1
21 359 20
21 4129 6
21 2428 8
21 5400 5
21 2065 9
22 23 20
22 1526 9
22 3055 8
22 1253 7
22 2512 2
22 6622 3
22 1784 11
22 3257 3
22 1440 19
22 895 19
22 6163 17
22 5967 19
23 24 15
23 2305 6
23 7618 9
23 7580 19
23 5184 4
23 7093 2
23 3042 17
23 6203 15
24 25 17
24 4014 5
24 3135 6
24 4686 7
24 3978 17
24 5180 14
24 1641 16
24 8041 2
24 2532 19
24 7602 7
24 6064 1
24 7445 14
24 5600 20
24 1683 17
24 5887 16
25 26 19
25 7591 11
25 5416 1
25 22 3
25 5299 4
25 39 3
25 1773 14
26 27 5
26 739 20
26 2416 3
26 4521 6
26 1625 7
26 5153 16
26 1488 19
26 651 5
26 6483 20
26 7703 15
26 1294 6
27 28 1
27 1162 15
27 6168 7
27 7819 17
27 5325 1
27 2692 14
27 6701 2
27 360 10
28 29 4
28 7999 1
28 966 10
28 4306 11
28 638 19
28 2449 1
28 4635 18
28 5641 19
28 4980 7
28 7727 1
28 7088 18
29 30 20
29 7438 1
29 1330 16
29 6604 8
29 262 7
29 3 1
29 6708 14
29 186 9
30 31 4
30 5186 4
30 846 11
30 4387 6
30 1955 20
30 2826 5
30 1000 19
30 663 6
31 32 13
31 7278 5
31 1966 19
31 6064 2
31 1333 14
31 8072 16
31 6313 6
31 6862 9
31 2746 6
31 1490 17
31 4074 17
31 2705 8
31 4700 15
31 6779 20
31 7161 12
32 33 7
32 3140 20
32 4539 11
32 4240 3
32 7289 16
32 3052 6
32 2500 14
32 2913 5
33 34 13
33 4343 19
33 4607 8
33 7820 14
33 4822 9
33 2868 13
33 2830 1
33 6857 10
33 6077 16
33 1888 15
34 35 11
34 1562 13
34 4488 4
34 1105 12
35 36 1
35 7510 19
35 7899 6
35 6624 18
35 2227 20
35 182 19
35 7315 5
35 7702 18
35 5559 18
35 5555 20
35 7112 19
35 8023 1
35 6085 19
35 3318 8
35 6291 19
36 37 9
36 1662 7
36 7864 1
36 3118 14
36 2539 6
36 3497 19
36 1973 1
36 6301 14
36 5266 11
36 2900 16
36 7553 14
36 5126 9
36 1162 10
37 38 1
37 313 13
37 1657 6
37 4669 16
37 4629 8
37 2842 12
37 920 15
37 551 13
37 4373 20
37 1443 8
37 897 2
37 2989 2
38 39 6
38 384 2
38 445 1
38 4469 15
38 5287 2
38 4187 1
38 7603 18
38 4519 6
38 1629 2
38 4558 3
38 2141 18
38 7537 9
38 621 2
39 40 11
39 4765 11
39 6202 5
39 1497 4
39 1236 4
39 7175 2
39 3395 17
39 418 19
39 2832 15
39 2760 18
39 7950 6
40 41 13
40 4205 16
40 4079 17
40 365 10
40 266 19
40 3081 6
40 4611 19
40 8088 20
40 2051 19
40 6895 9
40 5045 17
40 5822 6
41 42 8
41 6050 19
41 4877 9
41 1722 10
41 2793 11
41 4532 10
41 2721 1
41 1153 15
41 1598 4
41 854 11
41 8189 1
41 7794 19
41 5979 9
41 2867 9
41 2857 16
42 43 3
42 2606 4
42 5705 13
42 1294 19
42 1655 18
42 6675 11
42 4572 7
43 44 1
43 2686 4
43 1081 15
43 1454 18
43 2335 5
43 574 1
43 1143 9
43 4569 11
43 2617 5
43 7237 20
43 5850 15
44 45 6
44 2290 1
44 2712 5
44 5126 18
44 3021 11
44 7399 9
44 555 16
44 7729 11
44 4774 2
45 46 20
45 4071 20
45 5378 15
45 2345 7
45 6721 14
45 7981 7
45 4735 6
45 3471 8
45 3242 3
45 3868 7
45 218 18
46 47 8
46 3552 14
46 5459 1
46 3591 3
46 5662 18
46 1854 4
46 4898 4
46 5759 10
46 5286 1
46 4930 18
46 4255 17
46 6239 12
46 7618 13
46 7025 5
46 3096 11
47 48 5
47 391 9
47 5471 7
47 2062 7
47 4701 14
47 2490 5
47 1059 10
48 49 10
48 4962 8
48 4862 12
48 3705 5
48 7322 1
48 4484 16
48 1871 12
48 7841 10
48 761 16
48 7693 2
48 240 20
48 6331 8
48 7672 3
48 4780 16
48 7132 15
49 50 2
49 4808 4
49 4485 16
49 6423 4
49 773 14
50 51 16
50 5121 17
50 967 10
50 5590 13
50 3490 5
50 3503 5
50 6449 7
50 7755 15
50 4325 7
50 3813 12
50 3048 14
51 52 13
51 7842 10
51 7942 11
51 4051 14
51 4670 18
51 7413 9
51 2105 6
51 1960 5
51 6711 1
51 7579 6
51 2303 17
51 2851 13
51 1830 5
51 327 19
51 1348 19
52 53 4
52 7184 4
52 3515 6
52 6994 20
52 6408 3
52 989 8
52 6490 17
52 69 8
52 5805 15
52 4488 2
53 54 8
53 2381 3
53 6687 20
53 7078 15
53 1283 11
53 1044 14
53 418 17
53 6801 3
53 3993 19
53 3189 6
53 6745 13
53 5957 13
54 55 11
54 6238 9
54 4627 2
54 7881 15
54 3267 14
54 6737 16
54 972 6
54 7962 12
55 56 20
55 2414 4
55 3593 7
55 1779 1
55 4447 20
55 1205 19
56 57 12
56 5523 10
56 4589 5
56 4152 1
56 3708 16
56 2776 16
56 3076 3
56 753 17
56 6760 14
56 5214 18
56 4903 1
56 8015 2
57 58 10
57 8186 17
57 1449 14
57 977 18
57 1512 16
57 7866 7
57 5363 16
57 4625 9
57 758 19
57 333 3
57 868 9
57 7153 10
57 7643 3
58 59 1
58 3835 17
58 4590 1
58 1953 3
58 5948 2
58 5025 16
58 1755 13
58 3554 10
58 2006 5
59 60 18
59 3364 20
59 408 6
59 6075 19
59 1739 6
59 288 3
59 6737 14
59 2092 8
59 5564 5
59 7914 3
59 6356 8
60 61 13
60 1781 11
60 1436 11
60 3265 17
60 5279 7
60 6237 9
60 4453 6
60 531 11
60 5376 9
60 5750 18
60 2389 13
60 5845 12
60 6367 13
60 1115 15
60 3513 8
61 62 14
61 156 19
61 4498 12
61 2695 14
61 6861 3
61 3536 5
61 1489 17
61 5905 8
61 4599 5
61 1368 18
62 63 4
62 1216 15
62 6678 2
62 2856 13
62 4110 16
62 206 5
62 3725 18
62 1410 14
62 2305 7
62 5906 1
62 4766 3
62 5435 18
62 7458 10
63 64 10
63 6533 14
63 5992 2
63 3070 7
63 4795 4
63 3601 9
63 6479 15
63 567 1
63 460 3
63 6037 20
63 2857 19
63 6120 13
63 2006 2
64 65 2
64 4139 11
64 7922 4
64 1095 7
64 3823 14
64 1183 15
64 6180 15
64 4910 13
64 6139 11
65 66 1
65 4267 10
65 1141 19
65 4722 20
65 6523 12
65 325 1
65 7142 16
65 6309 2
65 5379 1
65 5144 17
66 67 19
66 6260 1
66 6836 9
66 4801 15
66 3753 3
66 1155 16
66 5051 19
66 6105 10
66 4449 12
66 7624 14
66 6660 4
67 68 19
67 291 18
67 4190 16
67 4811 13
67 5532 15
67 1240 19
67 6488 17
67 5653 10
67 5566 9
67 1104 15
67 1643 18
67 2571 2
67 7184 7
67 4338 8
67 8158 15
67 6329 10
68 69 20
68 3375 4
68 7429 20
68 7749 2
68 459 2
68 5831 3
68 2584 10
68 2823 17
68 416 1
68 6368 1
69 70 12
69 3590 20
69 2992 5
69 5700 1
69 5937 7
69 5725 16
69 1874 2
69 2721 18
69 7674 11
69 140 15
69 1217 19
69 7845 18
70 71 17
70 3288 14
70 982 5
70 1672 14
70 3710 1
70 1704 19
70 3907 18
70 228 1
71 72 8
71 5637 1
71 718 15
71 4598 15
71 1750 8
71 2577 16
71 4446 3
71 5855 16
71 7601 13
72 73 7
72 7849 4
72 7352 15
72 4462 15
72 7850 11
72 1428 17
72 2092 2
72 7074 1
72 2489 15
72 1777 13
73 74 1
73 4480 13
73 1942 20
73 5123 4
73 3883 11
73 6180 19
73 4947 7
73 3016 18
74 75 2
74 1805 2
74 5312 16
74 5567 14
74 1635 14
74 2863 12
74 4092 17
74 1326 1
74 1412 18
74 7680 2
74 4104 13
74 939 10
74 3270 18
74 3732 7
74 580 8
75 76 5
75 2634 5
75 4709 13
75 6241 5
75 1201 20
75 239 15
75 5448 9
75 2717 18
75 5226 4
75 2228 5
75 3753 16
75 6360 2
75 5595 13
76 77 14
76 3483 1
76 7177 6
76 3559 13
76 1683 20
76 517 8
76 3196 9
76 422 9
76 4710 18
76 4529 10
76 3795 13
76 7779 19
77 78 5
77 5461 17
77 7375 2
77 3913 15
77 634 18
77 5434 1
77 5675 17
78 79 9
78 6035 9
78 234 5
78 4274 1
78 643 7
78 3247 8
78 6721 5
78 7593 12
78 2552 7
78 7975 12
78 3833 20
78 7468 7
78 6433 5
78 1399 6
78 2245 1
78 2942 14
78 596 2
78 2316 10
78 4903 9
78 1850 20
79 80 14
79 4903 3
79 2895 2
79 7069 14
79 3820 13
79 1947 8
79 6503 4
79 2545 20
79 1208 4
79 1133 13
79 6966 18
79 6014 19
79 1354 12
79 6804 14
79 860 17
79 4172 20
80 81 3
80 6371 9
80 7150 5
80 3754 10
80 2609 10
80 7041 2
80 4046 1
80 3980 2
80 7607 2
80 7104 5
80 949 4
81 82 13
81 294 2
81 3310 17
81 1032 11
81 7794 20
81 689 20
81 5063 13
81 3500 2
81 4280 5
82 83 10
82 307 3
82 5979 12
82 6780 13
82 4363 2
82 8086 6
82 3569 8
82 4414 6
82 4605 17
83 84 17
83 7830 1
83 6828 6
83 4966 13
83 4820 7
83 4510 14
83 1555 6
83 2372 15
83 7427 4
83 6489 4
83 7826 11
83 5208 17
83 4034 14
83 850 3
84 85 1
84 5989 9
84 2399 1
84 4588 8
84 523 20
84 2055 3
84 2326 9
84 7535 5
84 3665 20
84 4185 20
84 6430 16
84 5722 15
85 86 4
85 4821 4
85 4032 7
85 3919 5
85 4963 6
85 6786 18
85 7989 14
85 4116 8
86 87 19
86 168 20
86 1722 14
86 1661 6
86 6847 5
86 2561 4
86 8189 8
86 3610 1
87 88 8
87 1673 13
87 7270 3
87 2415 15
87 7793 11
87 2156 8
87 4708 8
87 1768 17
87 4684 10
87 7168 20
87 3418 19
87 2384 5
87 3753 6
87 3326 20
87 4782 15
87 6501 18
87 2753 11
88 89 6
88 8058 6
88 3759 3
88 5360 16
88 2061 10
88 1317 14
88 570 13
88 1378 13
88 5362 9
88 1404 12
88 6068 18
88 5454 9
89 90 4
89 5029 4
89 1896 16
89 857 16
89 5724 7
89 4906 8
90 91 14
90 2465 7
90 5991 2
90 3397 19
90 3303 17
90 2283 7
90 2862 10
90 3910 14
90 4254 13
90 769 16
90 2198 6
90 3710 14
90 986 14
90 1220 4
90 6145 2
91 92 16
91 2996 5
91 563 9
91 3402 14
91 3256 20
91 1746 12
91 1590 3
91 3556 20
91 2312 1
91 691 4
91 7821 9
91 996 17
92 93 7
92 7473 11
92 6123 7
92 2355 12
92 671 14
92 379 18
92 5566 16
92 5779 9
92 7088 13
92 592 17
92 7345 20
92 1143 19
92 3718 6
93 94 9
93 3059 14
93 7127 13
93 4109 6
93 7260 5
93 2041 18
93 5232 6
93 3887 4
93 1237 16
93 1855 7
93 6164 14
94 95 11
94 3433 3
94 1842 6
94 5994 13
94 2736 9
94 3937 12
94 5428 20
94 5822 8
94 4168 2
94 1724 13
94 5199 6
95 96 5
95 7815 12
95 72 20
95 8046 7
95 6225 20
95 6304 9
95 5007 18
95 5355 10
95 8083 16
95 1459 7
96 97 11
96 4768 14
96 3790 17
96 4816 3
96 2121 8
96 306 12
96 2640 8
96 768 2
96 3881 16
96 3339 8
96 7252 7
96 6488 18
97 98 12
97 4896 3
97 1460 7
97 4063 11
97 6193 14
97 6468 13
97 4887 3
97 2860 2
97 4047 6
97 4580 3
97 399 11
97 4154 14
97 1009 16
98 99 4
98 406 12
98 2401 11
98 6029 1
98 4787 11
98 4336 3
98 5939 2
98 1682 17
98 3010 11
98 5696 1
98 8065 8
98 3411 18
98 4690 20
98 7252 8
98 951 10
98 5982 20
98 3279 10
99 100 1
99 2798 1
99 4165 18
99 6553 6
99 7679 15
99 1993 18
99 1059 6
99 5290 15
99 760 20
99 7537 8
99 8175 2
99 2333 12
99 2345 9
99 3347 1
99 7137 2
99 5103 18
99 736 12
99 7159 10
99 2768 12
100 101 20
100 5045 12
100 5110 16
100 1328 20
100 1473 6
100 3073 8
100 4447 19
100 6004 10
100 7133 3
100 6699 8
100 413 6
100 834 4
100 72 6
100 4659 11
100 7745 11
100 4538 14
100 416 5
100 3277 12
101 102 17
101 7930 18
101 2285 4
101 467 3
101 531 5
101 2436 9
101 2595 8
101 3686 4
101 119 8
101 5262 3
101 141 1
101 7765 17
102 103 16
102 6435 15
102 3926 8
102 6024 7
102 3875 6
102 5385 7
102 2488 20
102 4317 8
102 1213 13
102 1484 9
102 2925 15
102 516 4
102 7362 11
103 104 9
103 3400 4
103 7714 8
103 7890 1
103 2237 14
103 492 6
103 1829 2
103 6028 8
103 5783 12
104 105 19
104 5927 14
104 6816 19
104 2677 12
104 3926 10
104 2351 9
104 5830 9
104 6629 15
104 1621 7
104 6281 13
104 6515 11
104 5473 12
104 7616 8
104 2510 13
104 4522 18
105 106 8
105 5460 16
105 138 3
105 6925 18
105 4771 9
105 5335 1
106 107 18
106 4343 12
106 642 4
106 2515 4
106 1596 14
106 5932 2
106 7951 5
106 4879 18
106 7234 19
106 1507 6
107 108 19
107 3450 17
107 7204 7
107 217 4
107 2010 1
107 303 9
107 7893 5
107 6622 18
108 109 12
108 7809 11
108 1932 7
108 7375 20
108 580 10
108 1933 7
109 110 15
109 5842 17
109 2113 11
109 2819 11
110 111 19
110 3009 8
110 2228 7
110 3149 16
110 339 1
110 5695 18
110 4215 3
110 6518 4
110 3743 6
110 3339 11
110 7776 3
110 1853 13
111 112 7
111 4255 2
111 394 9
111 6690 19
111 6554 16
111 2525 13
111 430 1
111 319 10
112 113 2
112 3099 19
112 6704 9
112 6517 10
112 2634 1
112 4393 15
112 6284 20
113 114 12
113 6798 11
113 1440 10
113 7567 13
113 3154 3
113 1720 12
113 6193 20
113 7828 15
113 2334 7
113 3835 14
114 115 4
114 953 9
114 7737 1
114 4669 8
114 6013 10
114 4158 18
114 3395 1
114 2556 3
114 3508 15
114 2417 11
114 109 19
114 4402 2
115 116 11
115 1934 19
115 652 13
115 3899 1
115 7247 17
115 7257 16
115 5637 11
115 7960 1
115 4319 14
115 2885 19
115 2605 16
115 8167 8
115 2549 7
115 4059 11
115 6053 12
116 117 1
116 365 13
116 1097 4
116 2953 3
116 1954 16
116 4575 17
117 118 20
117 5125 10
117 1362 18
117 2514 17
117 2874 3
117 7835 11
118 119 7
118 7061 2
118 321 5
118 7967 2
118 6676 12
118 5704 4
118 2859 12
118 1671 11
118 6873 17
118 4764 10
118 821 11
119 120 17
119 5498 5
119 3952 12
119 5851 7
119 1255 6
119 2603 9
119 774 2
119 1226 15
119 6743 7
119 6981 16
120 121 8
120 2563 15
120 4747 14
120 231 18
120 558 19
120 32 7
120 3679 16
120 7675 18
120 2540 20
120 1118 6
120 5731 8
120 1887 5
120 2566 11
120 233 20
120 5561 3
121 122 15
121 5697 17
121 7818 8
121 5795 17
121 6757 13
121 7043 4
121 4610 2
121 927 18
121 5609 3
121 1554 20
121 6305 11
121 5846 9
122 123 6
122 5275 4
122 6379 3
122 407 2
122 6316 9
122 6535 3
122 1953 18
122 3864 18
122 7614 2
122 329 1
122 5650 7
122 7164 9
122 5240 18
123 124 11
123 185 18
123 1676 11
123 1143 13
123 4738 6
123 7176 11
123 4500 13
123 374 10
123 2355 2
124 125 17
124 353 14
124 1544 17
124 719 18
124 1726 9
124 354 11
124 5024 14
124 5985 2
124 4888 16
124 6450 5
125 126 12
125 877 13
125 3110 18
125 2209 19
125 2334 20
125 5486 14
125 781 18
125 2395 17
125 5139 9
125 3892 15
126 127 8
126 5355 9
126 4934 18
126 2005 19
126 5291 16
126 3452 13
126 8072 8
126 7046 16
127 128 20
127 2065 7
127 3030 1
127 767 4
127 7047 19
127 5791 20
127 3846 12
127 1544 18
128 129 6
128 4543 19
128 3405 9
128 4610 6
128 4521 14
128 427 7
128 4551 10
128 6373 4
128 303 13
128 5082 15
128 7457 20
128 7627 14
128 5783 12
128 4711 18
129 130 13
129 6190 17
129 4203 11
129 5326 5
129 2892 19
129 7343 12
129 720 10
129 890 4
129 2487 19
129 5501 11
129 6625 3
130 131 11
130 3688 13
130 6032 10
130 6475 8
130 2245 1
130 1398 9
130 5707 19
130 1137 13
131 132 6
131 5434 4
131 6908 2
131 4992 8
131 5007 15
131 3731 16
131 2946 8
131 2214 14
131 6574 17
131 1209 5
131 4887 13
132 133 3
132 4170 14
132 1275 5
132 3764 18
132 2189 19
132 45 4
132 3375 11
132 3505 16
132 7944 20
133 134 6
133 4168 10
133 7977 5
133 7178 15
133 8057 4
133 4349 10
133 2417 20
133 3674 19
134 135 17
134 834 17
134 705 9
134 1762 1
134 7131 16
134 7217 15
134 310 20
134 4702 15
134 1841 2
134 4369 9
134 6009 7
135 136 4
135 2344 17
135 2507 4
135 6032 7
135 1403 4
135 153 17
135 7910 15
135 367 13
135 5304 17
135 1709 5
135 2784 2
136 137 2
136 6546 4
136 5273 18
136 5438 3
136 1255 5
136 5662 17
136 3255 17
136 2180 12
136 7569 19
136 2078 2
137 138 1
137 6590 20
137 2775 4
137 6786 20
137 5705 5
137 3664 11
137 5506 6
137 4484 20
138 139 20
138 1794 11
138 1434 10
138 2741 13
138 2847 5
138 1270 19
138 2783 15
138 3152 2
138 5106 10
138 7705 14
138 1773 13
139 140 9
139 8051 20
139 4658 4
139 7773 9
139 4537 3
139 1506 3
139 2095 16
139 6558 14
139 5408 10
139 7559 14
139 3194 9
139 3388 6
140 141 16
140 6784 12
140 4120 15
140 6294 5
140 5550 7
140 5472 17
140 4520 15
140 4611 5
140 8032 12
140 2106 15
141 142 8
141 734 11
141 4623 12
141 5520 17
141 5207 12
141 4278 3
141 4962 13
141 662 7
141 6347 17
141 12 1
142 143 4
142 2985 8
142 1869 16
142 7714 3
142 2882 12
142 7765 10
142 6792 15
143 144 6
143 6213 4
143 4553 13
143 5191 20
143 8153 7
143 6984 8
143 1811 19
143 1658 11
143 1272 20
143 3254 20
143 2407 5
144 145 1
144 2179 3
144 6010 9
144 6047 5
144 5644 12
144 5941 2
144 7907 8
144 3707 9
144 2541 9
144 3860 7
144 6991 16
144 4114 5
145 146 1
145 2067 1
145 4115 19
145 4936 5
145 7226 14
145 4321 1
146 147 17
146 7711 18
146 3676 20
146 5233 2
146 4275 18
146 6382 11
146 8070 14
146 3639 11
146 4490 5
147 148 4
147 5083 3
147 5434 10
147 1897 19
147 3195 12
147 714 7
147 1773 12
147 4474 11
147 7454 13
147 7313 15
147 2186 1
147 7226 14
147 8054 4
148 149 15
148 4326 13
148 2387 5
148 570 13
148 475 12
148 6908 11
148 2854 19
148 1552 13
149 150 15
149 2763 19
149 3441 3
149 6958 8
149 5225 14
149 1906 19
149 6309 17
149 4900 15
149 3452 10
149 727 5
149 4038 1
149 4183 3
149 3891 10
149 7864 20
149 8085 1
150 151 15
150 4834 14
150 5994 6
150 5095 7
150 5584 16
150 5776 11
150 7052 3
150 7399 17
150 2293 15
150 102 12
150 5124 1
150 573 15
150 2929 4
150 5751 12
150 4662 2
150 6314 4
150 5849 19
150 2486 10
150 3226 16
150 6932 9
151 152 16
151 5641 15
151 6583 15
151 5510 1
151 2751 17
151 3207 20
151 2020 15
151 4079 5
151 1729 3
151 846 20
151 4712 7
151 4841 9
152 153 16
152 3797 17
152 6255 14
152 2422 13
152 1821 20
152 906 12
152 4761 10
152 3649 12
152 6376 16
152 6204 1
152 7847 15
153 154 13
153 5441 19
153 6019 1
153 3341 9
153 4547 16
153 7373 15
153 4516 12
153 2322 6
153 5668 13
153 1914 9
153 1727 17
153 5255 8
154 155 2
154 5121 3
154 5824 14
154 5570 5
154 6248 6
154 6233 6
154 7355 14
155 156 19
155 1470 9
155 7907 6
155 548 18
155 6284 16
155 2032 13
155 4906 14
155 5985 17
155 2360 7
155 4297 19
155 6009 14
156 157 8
156 7756 1
156 2667 20
156 7953 19
156 1137 1
156 4920 17
156 1579 3
156 261 8
156 6470 2
156 2791 4
156 2095 6
156 83 2
156 8188 9
157 158 14
157 4452 3
157 842 14
157 5621 2
157 1210 5
157 1618 15
157 3032 6
157 7102 13
157 2922 4
157 7381 14
157 2743 4
157 4046 16
158 159 3
158 878 7
158 7800 20
158 2291 13
158 6353 8
158 5534 11
158 5003 9
158 4097 2
158 6435 1
158 6172 6
158 1080 20
158 3853 4
158 796 10
158 6014 11
159 160 19
159 5105 20
159 686 17
159 3046 3
159 7157 5
159 3325 1
159 3406 14
159 6304 5
159 7277 18
159 6285 2
159 1289 5
159 5830 19
159 1328 20
159 5906 7
159 399 19
159 1988 14
160 161 18
160 2999 18
160 5026 5
160 1799 3
160 5169 6
160 5086 19
160 5721 12
160 1126 9
160 4126 2
160 4602 2
160 7566 19
160 5131 1
160 4241 9
161 162 18
161 3671 15
161 4016 2
161 4138 4
161 2532 3
161 4363 15
161 554 8
161 2791 10
161 2814 17
161 7092 9
161 3922 10
161 4475 12
161 7395 20
161 4131 11
161 7437 12
161 5153 19
161 5674 13
162 163 13
162 3002 3
162 5946 4
162 7271 6
162 3731 8
162 8145 8
162 7423 17
162 4907 15
162 4493 15
162 730 7
162 4435 14
162 1783 17
163 164 9
163 5178 12
163 1151 20
163 1482 11
163 1578 9
163 6790 5
163 680 17
163 6785 5
163 1789 11
163 4862 17
163 7957 5
163 6814 20
163 5143 12
164 165 7
164 1207 18
164 2537 12
164 7571 14
164 4645 11
164 1787 13
164 6817 6
164 3703 19
164 3016 20
164 8004 2
164 5927 10
164 627 12
164 530 8
165 166 2
165 5079 14
165 6134 15
165 4587 11
165 2338 20
165 1841 15
165 5149 9
166 167 2
166 1077 15
166 6940 12
166 6848 12
166 1785 17
166 7558 1
166 7711 5
166 4604 4
166 8131 13
166 1282 1
166 1432 20
166 3680 16
166 7574 18
166 6569 5
167 168 8
167 6833 13
167 4955 11
167 7979 1
167 4301 13
167 3974 4
167 4063 1
167 7699 2
167 5785 17
167 1895 18
167 3062 7
168 169 7
168 2064 20
168 7331 16
168 1967 2
168 3506 13
168 791 14
168 7205 7
168 6884 9
168 643 5
168 3694 8
168 2332 10
168 1243 17
168 3119 2
168 5061 15
168 5110 3
169 170 14
169 5668 3
169 52 5
169 2000 1
169 3138 18
169 2733 15
169 7372 17
170 171 7
170 5952 13
170 4666 8
170 7756 8
170 4982 12
170 6481 1
170 1901 10
171 172 14
171 3611 13
171 4697 6
171 5681 2
171 1966 8
171 1032 3
171 1337 18
171 2987 17
171 6243 6
171 2665 1
171 6343 9
171 3567 14
171 1178 11
172 173 15
172 7091 1
172 7017 10
172 4267 9
172 6673 16
172 2305 2
172 794 3
172 850 2
172 7963 9
172 3412 1
172 5126 3
172 3231 19
172 3732 17
173 174 12
173 1946 9
173 4562 7
173 1146 5
173 233 7
173 2380 3
173 3039 12
173 2800 20
173 901 10
173 2846 15
173 152 4
173 7293 8
173 2645 2
173 1294 18
173 6447 7
173 3752 3
174 175 13
174 6990 1
174 4122 3
174 2015 8
174 7479 18
174 3383 20
174 4543 12
174 2601 4
174 2912 16
174 613 8
174 1713 6
175 176 6
175 1530 15
175 3319 19
175 5656 4
175 7735 9
175 5799 5
175 6531 9
175 1411 9
175 5440 5
176 177 18
176 7292 18
176 1930 20
176 220 3
176 4198 19
177 178 12
177 242 5
177 2879 15
177 7446 14
177 4145 4
177 5166 3
177 2799 6
177 2688 6
177 7908 10
177 2758 3
177 1257 14
177 1217 5
178 179 10
178 3721 11
178 1868 14
178 2724 16
178 3171 7
178 539 19
178 7972 11
178 3642 17
178 2752 6
178 5157 19
178 4561 12
178 4809 20
178 5092 16
178 602 5
178 2466 13
178 4320 16
178 969 4
178 6445 17
178 1451 20
178 461 16
179 180 8
179 1176 19
179 4828 9
179 1819 18
179 2906 19
179 3915 17
179 6723 9
179 6228 9
179 3498 1
179 2839 18
179 2265 13
179 4351 10
179 2859 16
179 221 12
180 181 3
180 7808 11
180 2014 13
180 4170 19
180 4148 5
180 3401 13
180 2855 13
181 182 20
181 3771 11
181 2843 10
181 6320 16
181 8121 3
181 2789 7
181 3791 11
181 7786 7
181 2402 3
181 8172 11
181 4141 19
182 183 15
182 1327 13
182 7420 16
182 7127 19
182 2316 2
182 1189 8
182 3784 11
182 5805 3
182 3683 16
182 1708 10
182 2600 13
182 1124 9
182 5034 6
182 7969 12
182 4799 9
182 4483 8
182 7333 1
182 3666 1
183 184 17
183 1398 4
183 5164 13
183 4836 18
183 4922 18
183 741 13
183 7256 11
183 5515 7
183 7273 5
183 2959 6
183 2075 9
183 5635 5
184 185 16
184 5715 9
184 3122 18
184 4133 3
184 4309 4
184 4332 7
184 308 6
184 2252 7
184 6330 12
184 4021 11
184 2514 13
184 2507 6
